date,price,last_sale_price_in _hour,average_price,sd_of_purchase_prices_in_hour,sd_of _sale_prices_in_hour,number_of_trades,number_of_buys,number_of_sales,number_of_announcements,order_flow,change_price,log_price
1/05/96 6:00,1.5336,1.5337,1.53365,0.111269728,0.191485422,11,7,-4,0,3,0,0
1/05/96 7:00,1.5322,1.5325,1.53235,0.805260482,1.019570404,48,35,-13,2,22,-0.000913302,-0.000396642
1/05/96 8:00,1.53,1.5318,1.5309,0.758653778,0.700872472,45,21,-24,0,-3,-0.001436876,-0.000624027
1/05/96 9:00,1.5316,1.5343,1.53295,0.589491306,0.633113997,53,20,-33,0,-13,0.001045205,0.000453927
1/05/96 10:00,1.535,1.5347,1.53485,0.863528701,0.698212002,157,87,-70,0,17,0.00221744,0.000963022
1/05/96 11:00,1.535,1.5353,1.53515,0.463844279,0.471361664,76,47,-29,0,18,0,0
1/05/96 12:00,1.5347,1.5347,1.5347,0.269773568,0.195180015,27,14,-13,0,1,-0.000195459,-8.48867E-05
1/05/96 13:00,1.5375,1.5377,1.5376,1.062159036,0.925300934,69,30,-39,0,-9,0.001822798,0.000791631
1/05/96 14:00,1.5348,1.5364,1.5356,1.222065647,0.803049742,111,52,-59,1,-7,-0.001757641,-0.000763334
1/05/96 15:00,1.5332,1.5318,1.5325,0.141421356,0,4,2,-2,0,0,-0.001043025,-0.00045298
1/05/96 16:00,1.5336,1.5336,1.5336,0.7501515,0.531550049,121,59,-62,0,-3,0.000260858,0.000113289
1/05/96 17:00,1.5345,1.5343,1.5344,0.488038747,0.427377486,102,49,-53,0,-4,0.000586682,0.000254793
1/05/96 18:00,1.5338,1.535,1.5344,0.40055517,0.57106139,44,21,-23,0,-2,-0.000456279,-0.000198159
2/05/96 6:00,1.537,1.537,1.537,0.112599163,0.14832397,38,23,-15,0,8,0.002084148,0.000905134
2/05/96 7:00,1.5355,1.5353,1.5354,0.726636085,0.814043406,107,52,-55,1,-3,-0.000976404,-0.000424047
2/05/96 8:00,1.5339,1.5336,1.53375,0.620056205,0.792579219,191,92,-99,0,-7,-0.001042549,-0.000452773
2/05/96 9:00,1.5342,1.5341,1.53415,0.339674532,0.288675135,177,77,-100,1,-23,0.000195561,8.4931E-05
2/05/96 10:00,1.534,1.5336,1.5338,0.429499356,0.529722626,286,144,-142,1,2,-0.00013037,-5.66188E-05
2/05/96 11:00,1.5331,1.5328,1.53295,0.572276157,0.563202423,235,98,-137,2,-39,-0.000586874,-0.000254876
2/05/96 12:00,1.5335,1.5335,1.5335,0.585946528,0.379293602,184,93,-91,0,2,0.000260875,0.000113297
2/05/96 13:00,1.5393,1.5392,1.53925,1.54867979,1.611511619,529,325,-204,2,121,0.003775063,0.001639489
2/05/96 14:00,1.5384,1.5385,1.53845,0.758537269,0.491441911,359,186,-173,0,13,-0.000584852,-0.000253998
2/05/96 15:00,1.5348,1.5349,1.53485,1.788007186,1.817319871,595,294,-301,2,-7,-0.002342836,-0.001017481
2/05/96 16:00,1.5331,1.5332,1.53315,1.281334532,1.280506529,428,195,-233,2,-38,-0.00110825,-0.000481307
2/05/96 17:00,1.5294,1.5293,1.52935,0.832848344,1.009462803,302,111,-191,0,-80,-0.002416328,-0.001049398
2/05/96 18:00,1.5318,1.5318,1.5318,0.885745705,0.590069333,137,80,-57,0,23,0.001568013,0.000680979
3/05/96 6:00,1.5294,1.5294,1.5294,0.546808925,0.097590007,23,11,-12,0,-1,-0.001568013,-0.000680979
